epoch,avg_mse,avg_acc
0,0.592622728867106,0.7985148514851488
2,0.527322902124707,0.8881188118811881
4,0.499160649752853,0.9287128712871289
6,0.49193401634693146,0.9396039603960397
8,0.4871719573098835,0.9475247524752476
10,0.4843848646867393,0.9519801980198018
12,0.4857934637234943,0.9519801980198018
14,0.4868183540530725,0.9554455445544555
16,0.48712944910667905,0.9569306930693067
18,0.4859562577292471,0.9569306930693067
20,0.48255436806985647,0.9589108910891089
22,0.48145863257422306,0.9594059405940591
24,0.48351916517361565,0.9589108910891089
26,0.48788524768730185,0.9584158415841582
28,0.48966975542578384,0.9603960396039604
30,0.4879072655840675,0.9603960396039604
32,0.48856472709391374,0.9618811881188118
34,0.4867860886425076,0.9628712871287128
36,0.4854073813351074,0.9623762376237623
38,0.48578120874296316,0.9638613861386138
40,0.4874014637257794,0.9648514851485148
42,0.4880130463012374,0.9633663366336634
44,0.490479146312959,0.9638613861386138
46,0.4894116068535512,0.9633663366336634
48,0.48885516524314865,0.962871287128713
