epoch,avg_mse,avg_acc
0,,0.7826732673267327
2,,0.908910891089109
4,,0.9371287128712872
6,,0.9495049504950493
8,,0.9579207920792078
10,,0.9594059405940595
12,,0.9623762376237623
14,,0.9633663366336634
16,,0.9623762376237621
18,,0.9618811881188118
20,,0.9628712871287128
22,,0.9638613861386137
24,,0.9638613861386137
26,,0.9638613861386138
28,,0.9618811881188118
30,,0.9623762376237623
32,,0.9628712871287128
34,,0.9618811881188117
36,,0.9638613861386137
38,,0.9633663366336631
40,,0.9643564356435641
42,,0.9653465346534652
44,,0.9663366336633663
46,,0.9668316831683168
48,,0.9658415841584158
