epoch,avg_mse,avg_acc
0,,0.9737623762376237
2,,0.9688118811881188
4,,0.9693069306930694
6,,0.9707920792079208
8,,0.9737623762376237
10,,0.9737623762376237
12,,0.9757425742574256
14,,0.9782178217821784
16,,0.9792079207920793
18,,0.9811881188118811
20,,0.9811881188118811
22,,0.9787128712871287
24,,0.9806930693069307
26,,0.9816831683168317
28,,0.9806930693069305
30,,0.9797029702970296
32,,0.9816831683168317
34,,0.9801980198019802
36,,0.9792079207920791
38,,0.9806930693069305
40,,0.9792079207920793
42,,0.9792079207920793
44,,0.9777227722772277
46,,0.9811881188118811
48,,0.9787128712871287
50,,0.9777227722772276
52,,0.9767326732673267
54,,0.9772277227722771
56,,0.9772277227722771
58,,0.9787128712871287
60,,0.9762376237623762
62,,0.9747524752475247
64,,0.9757425742574257
66,,0.9742574257425742
68,,0.9767326732673265
