epoch,avg_mse,avg_acc
0,0.7267724925928777,
2,0.7084056182072893,
4,0.6962216864718069,
6,0.682183725586032,
8,0.6759684371476126,
10,0.6674773766262696,
12,0.6647797435817152,
14,0.6646397337465004,
16,0.6643942961598388,
18,0.6668655862312506,
20,0.6695505838583011,
22,0.6724119029422797,
24,0.6704935747798126,
26,0.6728746583556184,
28,0.674342285347457,
30,0.6766584482523472,
32,0.6736743666748009,
34,0.6777593093343299,
36,0.6831342263386981,
38,0.6855665895018247,
40,0.6844691446512053,
42,0.6855607512563762,
44,0.6904193440286239,
46,0.6943803570058087,
48,0.6944610527246305,
