epoch,avg_mse,avg_acc
0,0.5044347586026832,0.9582089552238805
2,0.4740932311881242,0.9716417910447759
4,0.46276290395959685,0.9736318407960197
6,0.4531175906978436,0.9766169154228855
8,0.45138096806421807,0.9771144278606964
10,0.4468280870819566,0.9771144278606964
12,0.44347253554496,0.9766169154228854
14,0.44313104520389685,0.9761194029850746
16,0.44039759831642034,0.9766169154228854
18,0.4390672846516566,0.9771144278606964
20,0.4360721724543406,0.9786069651741293
22,0.431516684198854,0.9776119402985073
24,0.4282479311399792,0.9771144278606964
26,0.4269107353924519,0.9771144278606964
28,0.4240708160459699,0.9771144278606964
30,0.42271776602635935,0.9771144278606964
32,0.42149542080822283,0.9771144278606964
34,0.42181756274024057,0.9781094527363182
36,0.4165408489122912,0.9781094527363181
38,0.41505417177333176,0.9781094527363181
40,0.41656495030246565,0.9781094527363182
42,0.41639676853198904,0.9781094527363182
44,0.41798546705672995,0.9766169154228854
46,0.41642015896626366,0.9771144278606964
48,0.4154971376580385,0.9781094527363182
