epoch,avg_mse,avg_acc
0,0.42814957883098337,0.9772277227722771
2,0.4253924048773133,0.9777227722772277
4,0.4313622072191522,0.9782178217821782
6,0.43309574020971164,0.9787128712871288
8,0.4256903733947489,0.9797029702970299
10,0.42087971621220654,0.9816831683168317
12,0.41937834832927967,0.9816831683168317
14,0.4143081657367177,0.9816831683168317
16,0.41087843604607155,0.9826732673267327
18,0.40388382661460653,0.9831683168316833
20,0.4009816710311587,0.9821782178217822
22,0.39983739935525564,0.9821782178217824
24,0.4000813518420304,0.9831683168316833
26,0.4011518193943666,0.9836633663366339
28,0.4027924335829103,0.9831683168316833
30,0.4018621378605909,0.9836633663366339
32,0.39852882895139186,0.9836633663366336
34,0.40207925126104077,0.9816831683168317
36,0.3997091499295566,0.9836633663366336
38,0.39912069197928546,0.9831683168316833
40,0.3994789998130043,0.9841584158415841
42,0.3988619256727766,0.985148514851485
44,0.397334085242583,0.9861386138613861
46,0.3978906347019838,0.9856435643564356
48,0.3991005054204771,0.9841584158415841
50,0.3979709234568152,0.9841584158415841
52,0.39527396241036966,0.9836633663366336
54,0.3948608789113489,0.985148514851485
56,0.39425579250449005,0.9846534653465346
58,0.39244983951644147,0.9856435643564356
60,0.3924905059361222,0.9851485148514852
62,0.39077576463765434,0.9856435643564356
64,0.3894854812928946,0.9856435643564356
66,0.3921363031510079,0.9856435643564356
68,0.3924818751835587,0.9841584158415841
