epoch,avg_mse,avg_acc
0,0.4872735711607602,
2,0.4853647645157162,
4,0.47767082464576954,
6,0.4698438941842259,
8,0.4622858040403612,
10,0.4559606218101955,
12,0.45113380309378737,
14,0.44886113617679857,
16,0.4465628431575134,
18,0.44442495072242066,
20,0.4436248377998277,
22,0.4441917067707175,
24,0.4447585888428264,
26,0.44453311355987396,
28,0.44257314453030583,
30,0.4428743597304467,
32,0.4419198089306898,
34,0.4425579728466449,
36,0.44135911098801267,
38,0.44080723323444326,
40,0.44235573546721196,
42,0.4431701904476279,
44,0.44182938974682645,
46,0.4429741995169385,
48,0.44232025170090167,
50,0.4434062733508572,
52,0.44227848997210517,
54,0.44201836975494235,
56,0.4406960017610304,
58,0.4410731151552484,
60,0.4419049152053229,
62,0.44033529144702577,
64,0.44015550035061224,
66,0.43871795682623826,
68,0.4369861895495122,
