epoch,avg_mse,avg_acc
0,0.5806491306765162,
2,0.574175046925521,
4,0.5652911136992533,
6,0.5566775603080863,
8,0.5469370422078602,
10,0.5438236733574179,
12,0.5375703151546307,
14,0.5330137248656049,
16,0.5286031682099869,
18,0.529599952757062,
20,0.5305949201631308,
22,0.5280720402352252,
24,0.5281392023931096,
26,0.532245517073579,
28,0.5318229451108335,
30,0.5315676262722681,
32,0.5340759892961874,
34,0.5340245221384722,
36,0.5358089777367625,
38,0.5341355290578966,
40,0.5357108327879835,
42,0.533808320849689,
44,0.5396073496756861,
46,0.5396837036408003,
48,0.5404491590623238,
